Designator Comment                                                       Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
VD6_A9     ""                                                            TopLayer    LED_3535                     -2007.874     2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A8     ""                                                            TopLayer    LED_3535                     -2007.874     2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A7     ""                                                            TopLayer    LED_3535                     -2007.874     2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A6     ""                                                            TopLayer    LED_3535                     -2007.874     2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A5     ""                                                            TopLayer    LED_3535                     -2007.874     1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A4     ""                                                            TopLayer    LED_3535                     -2007.874     1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A3     ""                                                            TopLayer    LED_3535                     -2007.874     1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A11    ""                                                            TopLayer    LED_3535                     -748.032      3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A10    ""                                                            TopLayer    LED_3535                     -748.032      3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A9     ""                                                            TopLayer    LED_3535                     -748.032      2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A8     ""                                                            TopLayer    LED_3535                     -748.032      2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A7     ""                                                            TopLayer    LED_3535                     -748.032      2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A6     ""                                                            TopLayer    LED_3535                     -748.032      2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A5     ""                                                            TopLayer    LED_3535                     -748.032      1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A4     ""                                                            TopLayer    LED_3535                     -748.051      1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A3     ""                                                            TopLayer    LED_3535                     -748.032      1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A11    ""                                                            TopLayer    LED_3535                     -2259.843     3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A10    ""                                                            TopLayer    LED_3535                     -2259.843     3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A9     ""                                                            TopLayer    LED_3535                     -2259.843     2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A8     ""                                                            TopLayer    LED_3535                     -2259.843     2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A7     ""                                                            TopLayer    LED_3535                     -2259.843     2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A6     ""                                                            TopLayer    LED_3535                     -2259.843     2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A5     ""                                                            TopLayer    LED_3535                     -2259.843     1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A4     ""                                                            TopLayer    LED_3535                     -2259.843     1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A3     ""                                                            TopLayer    LED_3535                     -2259.843     1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A11    ""                                                            TopLayer    LED_3535                     -1000.000     3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A10    ""                                                            TopLayer    LED_3535                     -1000.000     3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A9     ""                                                            TopLayer    LED_3535                     -1000.000     2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A8     ""                                                            TopLayer    LED_3535                     -1000.000     2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A7     ""                                                            TopLayer    LED_3535                     -1000.000     2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A6     ""                                                            TopLayer    LED_3535                     -1000.000     2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A5     ""                                                            TopLayer    LED_3535                     -1000.000     1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A4     ""                                                            TopLayer    LED_3535                     -1000.000     1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD3_A3     ""                                                            TopLayer    LED_3535                     -1000.000     1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A11    ""                                                            TopLayer    LED_3535                     -2511.811     3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A10    ""                                                            TopLayer    LED_3535                     -2511.811     3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A9     ""                                                            TopLayer    LED_3535                     -2511.811     2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A8     ""                                                            TopLayer    LED_3535                     -2511.811     2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A7     ""                                                            TopLayer    LED_3535                     -2511.811     2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A6     ""                                                            TopLayer    LED_3535                     -2511.811     2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A5     ""                                                            TopLayer    LED_3535                     -2511.811     1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A4     ""                                                            TopLayer    LED_3535                     -2511.811     1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD2_A3     ""                                                            TopLayer    LED_3535                     -2511.811     1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A11    ""                                                            TopLayer    LED_3535                     -1251.968     3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A10    ""                                                            TopLayer    LED_3535                     -1251.968     3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A9     ""                                                            TopLayer    LED_3535                     -1251.968     2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A8     ""                                                            TopLayer    LED_3535                     -1251.968     2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A7     ""                                                            TopLayer    LED_3535                     -1251.968     2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A6     ""                                                            TopLayer    LED_3535                     -1251.968     2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A5     ""                                                            TopLayer    LED_3535                     -1251.968     1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A4     ""                                                            TopLayer    LED_3535                     -1251.968     1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD1_A3     ""                                                            TopLayer    LED_3535                     -1251.968     1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
R26        "10 kOhm"                                                     BottomLayer R0805_YA                     -500.000      2984.252      90       "RES ?�?% SMD0805"                                                                                                                                       
R30        "10 kOhm"                                                     BottomLayer R0805_YA                     -2266.732     3162.402      180      "RES ?�?% SMD0805"                                                                                                                                       
R27        "10 kOhm"                                                     BottomLayer R0805_YA                     -500.000      3413.386      270      "RES ?�?% SMD0805"                                                                                                                                       
R4         "10 kOhm"                                                     BottomLayer R0805_YA                     -1649.606     589.567       270      "RES ?�?% SMD0805"                                                                                                                                       
R1         "1 kOhm"                                                      BottomLayer R0805_YA                     -1614.173     481.299       180      "RES ?�?% SMD0805"                                                                                                                                       
R14        "1 kOhm"                                                      BottomLayer R0805_YA                     -2401.575     984.252       270      "RES ?�?% SMD0805"                                                                                                                                       
R5         "1.2 kOhm"                                                    BottomLayer R0805_YA                     -2244.094     1877.953      270      "RES ?�?% SMD0805"                                                                                                                                       
R2         "1.2 kOhm"                                                    BottomLayer R0805_YA                     -2244.094     2147.638      270      "RES ?�?% SMD0805"                                                                                                                                       
R23        "10 kOhm"                                                     BottomLayer R0805_YA                     -216.535      1140.787      90       "RES ?�?% SMD0805"                                                                                                                                       
R22        "10 kOhm"                                                     BottomLayer R0805_YA                     -479.823      1133.898      180      "RES ?�?% SMD0805"                                                                                                                                       
R28        "10 kOhm"                                                     BottomLayer R0805_YA                     -2154.528     4121.063      90       "RES ?�?% SMD0805"                                                                                                                                       
R29        "1 kOhm"                                                      BottomLayer R0805_YA                     -2229.331     4121.063      270      "RES ?�?% SMD0805"                                                                                                                                       
R16        "5.1 kOhm"                                                    BottomLayer R0805_YA                     -2401.575     727.362       270      "RES ?�?% SMD0805"                                                                                                                                       
R15        "1 MOhm"                                                      BottomLayer R0805_YA                     -2167.323     318.898       180      "RES ?�?% SMD0805"                                                                                                                                       
R12        "5.1 kOhm"                                                    BottomLayer R0805_YA                     -2401.575     858.268       270      "RES ?�?% SMD0805"                                                                                                                                       
R7         "1 kOhm"                                                      BottomLayer R0805_YA                     -1908.465     452.756       270      "RES ?�?% SMD0805"                                                                                                                                       
C31        "100 nF"                                                      BottomLayer C0805_YA                     -500.000      2844.940      90       "cap 0805"                                                                                                                                               
C33        "100 nF"                                                      BottomLayer C0805_YA                     -2266.732     3051.181      0        "cap 0805"                                                                                                                                               
C32        "100 nF"                                                      BottomLayer C0805_YA                     -500.000      3543.307      270      "cap 0805"                                                                                                                                               
C16        "4.7 nF"                                                      BottomLayer C0805_YA                     -2307.087     318.898       0        "cap 0805"                                                                                                                                               
